@relation audio_classification
@attribute 'avge' real
@attribute 'zecr' real
@attribute 'spce' real
@attribute 'class' { Speech, Music}
@data
7.194257057271898E-4,0.0,5.405069726395503,Speech
0.01583643425212111,0.0,-35.040790246861526,Speech
0.06188370646098337,0.0,-104.90330787487864,Speech
4.5428834724589253E-4,0.0,-157.81002648804304,Speech
0.07671875950264803,0.0,784.2031000840129,Music
0.013580961924918637,0.0,-116.10562145282039,Music
5.281566308112815E-4,0.0,47.65292443603363,Speech
0.035685484402129077,1.5625244144439756E-5,138.78245077607124,Speech
0.010393799339537508,-1.5625244144439756E-5,208.88837911864576,Music
0.17705465030105552,0.0,-4.119740197579374,Speech
3.178433641926483E-4,0.0,-0.8068365590248734,Speech
0.0035985503325520964,-1.560963426626914E-5,-1.954669155448461,Speech
5.023559251130791E-4,0.0,4.357909966317283,Speech
0.008307291079458082,0.0,22.859274116772262,Speech
0.016870478262704297,0.0,-1.0864845890995734,Music
0.009680068761833372,-1.5625488296509265E-5,67.93819313792795,Music
0.01100800370500622,1.5625488296509265E-5,7.323168814118677,Music
0.006607371829483275,0.0,1.0631182010842073,Speech
0.007852619107573464,-1.5625488296509265E-5,270.1265134820597,Music
0.1503126584312122,-1.5625244144439756E-5,-1.9532606650131725,Speech
0.0020078544451243943,0.0,-0.09607657584184574,Music
0.003410028306289123,1.560963426626914E-5,6.889205184806167,Speech
0.1063265164035256,0.0,20.524599326025804,Speech
0.001811424343395629,0.0,9.505730358094112,Music
0.03666144637375401,-1.5625488296509265E-5,-13.207466232600888,Music
6.723543111729668E-4,0.0,25.31922381755154,Music
0.00612919615867232,-1.5625488296509265E-5,-13.08855677064656,Music
4.711084564748068E-4,-1.5625488296509265E-5,-5.671823250011399,Music
0.139020341253432,1.5625244144439756E-5,1.2081322090113622,Speech
0.006939856863414269,0.0,-325.5800562224756,Music
0.006398781227301685,0.0,-26.49899406401108,Music
0.017265332418450272,0.0,-31.40751302357776,Music
0.0022246069743382425,1.560963426626914E-5,-53.36276883650913,Music
0.016456336317529605,1.560963426626914E-5,30.74088201389756,Speech
0.0038153758800326615,0.0,-45.183757398753805,Speech
8.666588370863872E-4,0.0,9.800333515230758,Music
5.541150277858833E-4,1.5625244144439756E-5,-0.9691409680612026,Speech
